Date,Asset,Daily Return,Exposure BoP,Exposure EoP,Trade Exposure,Trade Cost,PnL - Daily,PnL,Days in Exposure,Strategy Vol.,stop_trading_sign,Strategy,Strategy Weight,Book Vol,all_strategies_ready,Cumulative_ReturnLibor
2013-07-19,Swap - UUP US Equity,0.9973170535194882,0,0,0,0,0,0,0,0.0,False,FX | Trend-Following,1.0,0.0,True,1.0000072424998308
2013-07-19,Swap - FXY US Equity,1.001739739042541,0,0,0,0,0,0,0,0.0,False,FX | Trend-Following,1.0,0.0,True,1.0000072424998308
2013-07-19,Swap - FXE US Equity,1.002689255799601,0,0,0,0,0,0,0,0.0,False,FX | Trend-Following,1.0,0.0,True,1.0000072424998308
2013-07-19,Swap - UDN US Equity,1.0034361504027192,0,0,0,0,0,0,0,0.0,False,FX | Trend-Following,1.0,0.0,True,1.0000072424998308
2013-07-19,Swap - CEW US Equity,1.0004800355291672,0,0,0,0,0,0,0,0.0,False,FX | Trend-Following,1.0,0.0,True,1.0000072424998308
2013-07-22,Swap - UUP US Equity,0.9955168810204233,0,0,0,0,0,0,0,0.0,False,FX | Trend-Following,1.0,0.0,True,1.0000144850521153
2013-07-22,Swap - FXY US Equity,1.0085072629770033,0,0,0,0,0,0,0,0.0,False,FX | Trend-Following,1.0,0.0,True,1.0000144850521153
2013-07-22,Swap - FXE US Equity,1.0032192931216786,0,0,0,0,0,0,0,0.0,False,FX | Trend-Following,1.0,0.0,True,1.0000144850521153
2013-07-22,Swap - UDN US Equity,1.0041823427880519,0,0,0,0,0,0,0,0.0,False,FX | Trend-Following,1.0,0.0,True,1.0000144850521153
2013-07-22,Swap - CEW US Equity,1.001967729732294,0,0,0,0,0,0,0,0.0,False,FX | Trend-Following,1.0,0.0,True,1.0000144850521153
2013-07-23,Swap - UUP US Equity,0.9968508349487701,0,0,0,0,0,0,0,0.0,False,FX | Trend-Following,1.0,0.0,True,1.0000217604472883
2013-07-23,Swap - FXY US Equity,1.000399598010933,0,0,0,0,0,0,0,0.0,False,FX | Trend-Following,1.0,0.0,True,1.0000217604472883
