Date,VLUE US Equity,SIZE US Equity,USMV US Equity,MTUM US Equity,QUAL US Equity
2013-07-18,1.0118698459516036,1.0,1.0026634139341322,1.00464243966678,
2013-07-19,1.009984515991244,1.0,1.005034081940159,1.009061080449225,0.9922233300099702
2013-07-22,1.012757276655602,1.0180999553133883,1.0051833249623305,1.0103798292469994,0.9970089730807576
2013-07-23,1.012757276655602,1.0180999553133883,1.0041443639233696,1.0087263069115013,0.9954137587238285
2013-07-24,1.012757276655602,1.0180999553133883,0.9976293319939731,1.0051991625112822,0.9940578265204385
2013-07-25,1.0077401632356977,1.0180999553133883,1.0014809499892374,1.0128120237337788,0.9992023928215351
2013-07-26,1.0075799838347685,1.0180999553133883,1.003553131950922,1.0152257224449934,0.9944167497507479
2013-07-29,1.009984515991244,1.013387207612496,1.0020721819616847,1.0137405116671352,0.9980059820538384
2013-07-30,1.009984515991244,1.013387207612496,1.0032575159646984,1.0116190462098458,1.0019940179461613
2013-07-31,1.009984515991244,1.0162148562330313,1.0002956159862237,1.0107700901114187,0.9994017946161513
2013-08-01,1.0227031286535173,1.0162148562330313,1.0074047499461862,1.0193835727919747,0.9994017946161513
2013-08-02,1.0238501604555725,1.0162148562330313,1.0074047499461862,1.0241369871121435,1.0113639082751744
2013-08-05,1.022555837250364,1.0271499329700824,1.0065150319293965,1.0211665655564268,1.0115653040877366
2013-08-06,1.0164358794493513,1.0271499329700824,1.0038487479371458,1.017452613823003,1.0061814556331008
2013-08-07,1.0099808337061646,1.0271499329700824,1.0002956159862237,1.0137405116671352,1.0019940179461613
2013-08-08,1.0099808337061646,1.0271499329700824,1.0041443639233696,1.0148539573561395,1.006779661016949
2013-08-09,1.01405159986081,1.0214946357290116,1.0020721819616847,1.0122922924404063,1.0045463609172482
2013-08-12,1.0122030927512378,1.0214946357290116,1.0005912319724473,1.0094476421585308,1.001395812562313
2013-08-13,1.0122030927512378,1.0214946357290116,0.999405897969434,1.010398325022565,1.0073778664007977
2013-08-14,1.015342240780939,1.0214946357290116,0.9943718160292748,1.0020437831999172,1.0005982053838485
2013-08-15,0.9985215625408503,0.9984922962534593,0.9810403960680204,0.9847391355814331,0.9862412761714856
2013-08-16,0.9938800421989873,0.9984922962534593,0.9751165961110714,0.9801336874657827,0.9834496510468594
2013-08-19,0.9905715090556597,0.990384868136944,0.9703781301571359,0.9784635189322758,0.9822532402791625
2013-08-20,0.9905715090556597,0.9971723513794645,0.9768931620865322,0.9832909163547043,0.9900299102691924
2013-08-21,0.9881688180417243,0.9971723513794645,0.9709693621295831,0.9766916236331619,0.9894317048853437
2013-08-22,0.9881688180417243,0.9971723513794645,0.9760063141278613,0.9842194042880605,0.9970089730807576
2013-08-23,0.9881688180417243,0.9993747629544236,0.9813388821123629,0.9870048680881284,0.9962113659022932
2013-08-26,1.0003700696504225,1.0015095813352661,0.9765975461003086,0.9849610848882114,0.9948155533399802
2013-08-27,0.9792632115785772,1.0015095813352661,0.9674162301786612,0.970850657709779,0.9787637088733798
2013-08-28,0.9792632115785772,0.9845380568458761,0.9677118461648848,0.9728925913321397,0.9824526420737786
2013-08-29,0.9792632115785772,0.9845380568458761,0.9694884121403461,0.9779067960877734,0.9848454636091724
