Date,Asset,Daily Return,Exposure BoP,Exposure EoP,Trade Exposure,Trade Cost,PnL - Daily,PnL,Days in Exposure,Strategy Vol.,stop_trading_sign,Strategy,Strategy Weight,Book Vol,all_strategies_ready,Cumulative_ReturnLibor
2016-10-18,Swap - GLD US Equity,1.006158969486793,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0087341231667695
2016-10-18,Swap - GDX US Equity,1.0368215929710023,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0087341231667695
2016-10-18,Swap - PDBC US Equity,1.0011014283803872,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0087341231667695
2016-10-19,Swap - UCO US Equity,1.0343666862044105,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0087583555928372
2016-10-19,Swap - SCO US Equity,0.9650708988346755,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0087583555928372
2016-10-19,Swap - KOLD US Equity,1.0326295999515438,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0087583555928372
2016-10-19,Swap - ZSL US Equity,0.9930505195232162,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0087583555928372
2016-10-19,Swap - GLL US Equity,0.9899906706063105,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0087583555928372
2016-10-19,Swap - GLD US Equity,1.0057057855143348,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0087583555928372
2016-10-19,Swap - GDX US Equity,1.027662540003633,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0087583555928372
2016-10-19,Swap - PDBC US Equity,1.0061646994499662,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0087583555928372
2016-10-20,Swap - UCO US Equity,0.9624661935993153,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0087826190110964
