Date,Asset,Daily Return,Exposure BoP,Exposure EoP,Trade Exposure,Trade Cost,PnL - Daily,PnL,Days in Exposure,Strategy Vol.,stop_trading_sign,Strategy,Strategy Weight,Book Vol,Cumulative_ReturnLibor
2013-11-25,Swap - VLUE US Equity,1.0010238834802148,0,0.49055057871258545,0.49055057871258545,0.00012263764467814635,-0.00012263764467814635,-0.00012263764467814635,1,0.19999999999999998,False,Equity | Vol. Targeting,1.0,0.0,1.000632459618771
2013-11-25,Swap - SIZE US Equity,1.0035182039001633,0,0.4876326817750771,0.4876326817750771,0.00012190817044376929,-0.00012190817044376929,-0.00012190817044376929,1,0.19999999999999998,False,Equity | Vol. Targeting,1.0,0.0,1.000632459618771
2013-11-25,Swap - USMV US Equity,0.9992608147866145,0,0.5583255660751603,0.5583255660751603,0.00013958139151879008,-0.00013958139151879008,-0.00013958139151879008,1,0.19999999999999998,False,Equity | Vol. Targeting,1.0,0.0,1.000632459618771
2013-11-25,Swap - MTUM US Equity,1.0006779380082798,0,0.49438050327924393,0.49438050327924393,0.00012359512581981098,-0.00012359512581981098,-0.00012359512581981098,1,0.19999999999999998,False,Equity | Vol. Targeting,1.0,0.0,1.000632459618771
2013-11-25,Swap - QUAL US Equity,0.9989038419180891,0,0.5207547454513658,0.5207547454513658,0.00013018868636284145,-0.00013018868636284145,-0.00013018868636284145,1,0.19999999999999998,False,Equity | Vol. Targeting,1.0,0.0,1.000632459618771
2013-11-26,Swap - VLUE US Equity,1.0027365655811609,0.49055057871258545,0.4918930025421089,0,0,0.0013424238295234314,0.001219786184845285,2,0.1990945236127506,False,Equity | Vol. Targeting,1.0,0.0,1.0006389382700485
2013-11-26,Swap - SIZE US Equity,0.9999935254855374,0.4876326817750771,0.48762952459022657,0,0,-3.1571848505551614e-06,-0.00012506535529432445,2,0.1990945236127506,False,Equity | Vol. Targeting,1.0,0.0,1.0006389382700485
2013-11-26,Swap - USMV US Equity,0.9975900343715741,0.5583255660751603,0.5569800206514477,0,0,-0.0013455454237125686,-0.0014851268152313586,2,0.1990945236127506,False,Equity | Vol. Targeting,1.0,0.0,1.0006389382700485
2013-11-26,Swap - MTUM US Equity,0.9982845641908527,0.49438050327924393,0.49353242526057445,0,0,-0.0008480780186694847,-0.0009716731444892957,2,0.1990945236127506,False,Equity | Vol. Targeting,1.0,0.0,1.0006389382700485
2013-11-26,Swap - QUAL US Equity,1.0034474153220034,0.5207547454513658,0.5225500033398408,0,0,0.0017952578884750103,0.001665069202112169,2,0.1990945236127506,False,Equity | Vol. Targeting,1.0,0.0,1.0006389382700485
2013-11-27,Swap - VLUE US Equity,0.9977728863443406,0.4918930025421089,0.490797500919024,0,0,-0.0010955016230848602,0.00012428456176042475,3,0.19897681461131417,False,Equity | Vol. Targeting,1.0,0.0,1.0006454443133685
2013-11-27,Swap - SIZE US Equity,0.99999349815326,0.48762952459022657,0.48762635409779176,0,0,-3.1704924348119334e-06,-0.00012823584772913638,3,0.19897681461131417,False,Equity | Vol. Targeting,1.0,0.0,1.0006454443133685
2013-11-27,Swap - USMV US Equity,1.0007040320999017,0.5569800206514477,0.5573721524649902,0,0,0.0003921318135424734,-0.0010929950016888852,3,0.19897681461131417,False,Equity | Vol. Targeting,1.0,0.0,1.0006454443133685
2013-11-27,Swap - MTUM US Equity,1.0015336862908901,0.49353242526057445,0.49428934917530637,0,0,0.0007569239147319218,-0.0002147492297573739,3,0.19897681461131417,False,Equity | Vol. Targeting,1.0,0.0,1.0006454443133685
2013-11-27,Swap - QUAL US Equity,1.0029876420535786,0.5225500033398408,0.5241111957049166,0,0,0.001561192365075792,0.003226261567187961,3,0.19897681461131417,False,Equity | Vol. Targeting,1.0,0.0,1.0006454443133685
2013-11-28,Swap - VLUE US Equity,0.9999934571553559,0.490797500919024,0.49079428970722383,0,0,-3.2112118001914602e-06,0.00012107334996023329,4,0.19850955792590533,False,Equity | Vol. Targeting,1.0,0.0,1.0006519914238912
2013-11-28,Swap - SIZE US Equity,0.9999934571553559,0.48762635409779176,0.4876231636343125,0,0,-3.1904634792412345e-06,-0.00013142631120837762,4,0.19850955792590533,False,Equity | Vol. Targeting,1.0,0.0,1.0006519914238912
2013-11-28,Swap - USMV US Equity,0.9999934571553559,0.5573721524649902,0.5573685056655877,0,0,-3.646799402456935e-06,-0.0010966418010913421,4,0.19850955792590533,False,Equity | Vol. Targeting,1.0,0.0,1.0006519914238912
2013-11-28,Swap - MTUM US Equity,0.9999934571553559,0.49428934917530637,0.49428611511688547,0,0,-3.2340584208978562e-06,-0.00021798328817827176,4,0.19850955792590533,False,Equity | Vol. Targeting,1.0,0.0,1.0006519914238912
2013-11-28,Swap - QUAL US Equity,0.9999934571553559,0.5241111957049166,0.5241077665267869,0,0,-3.429178129676913e-06,0.003222832389058284,4,0.19850955792590533,False,Equity | Vol. Targeting,1.0,0.0,1.0006519914238912
2013-11-29,Swap - VLUE US Equity,1.0035906719451364,0.49079428970722383,0.4925565709941087,0,0,0.0017622812868848814,0.0018833546368451147,5,0.19841985358830427,False,Equity | Vol. Targeting,1.0,0.0,1.0006585385772508
2013-11-29,Swap - SIZE US Equity,0.9999934571553559,0.4876231636343125,0.487619973191708,0,0,-3.1904426044948586e-06,-0.00013461675381287247,5,0.19841985358830427,False,Equity | Vol. Targeting,1.0,0.0,1.0006585385772508
2013-11-29,Swap - USMV US Equity,0.9980102715500958,0.5573685056655877,0.5562594936927843,0,0,-0.001109011972803442,-0.0022056537738947843,5,0.19841985358830427,False,Equity | Vol. Targeting,1.0,0.0,1.0006585385772508
2013-11-29,Swap - MTUM US Equity,1.0034153602103497,0.49428611511688547,0.49597428024698403,0,0,0.0016881651300985623,0.0014701818419202905,5,0.19841985358830427,False,Equity | Vol. Targeting,1.0,0.0,1.0006585385772508
2013-11-29,Swap - QUAL US Equity,1.0015256706368327,0.5241077665267869,0.5249073823567129,0,0,0.000799615829925937,0.004022448218984221,5,0.19841985358830427,False,Equity | Vol. Targeting,1.0,0.0,1.0006585385772508
2013-12-02,Swap - VLUE US Equity,0.9999934639882974,0.4925565709941087,0.4925533516385965,0,0,-3.219355512229516e-06,0.0018801352813328852,6,0.19839180275290708,False,Equity | Vol. Targeting,1.0,0.0,1.0006650789359173
2013-12-02,Swap - SIZE US Equity,0.9999934639882974,0.487619973191708,0.4876167861018568,0,0,-3.187089851197644e-06,-0.00013780384366407012,6,0.19839180275290708,False,Equity | Vol. Targeting,1.0,0.0,1.0006650789359173
2013-12-02,Swap - USMV US Equity,0.9963081484765827,0.5562594936927843,0.5542058662335793,0,0,-0.0020536274592050097,-0.004259281233099794,6,0.19839180275290708,False,Equity | Vol. Targeting,1.0,0.0,1.0006650789359173
2013-12-02,Swap - MTUM US Equity,0.9938563969311826,0.49597428024698403,0.49292721113680416,0,0,-0.0030470691101798786,-0.001576887268259588,6,0.19839180275290708,False,Equity | Vol. Targeting,1.0,0.0,1.0006650789359173
2013-12-02,Swap - QUAL US Equity,0.9953031828616418,0.5249073823567129,0.5224419883672091,0,0,-0.002465393989503739,0.001557054229480482,6,0.19839180275290708,False,Equity | Vol. Targeting,1.0,0.0,1.0006650789359173
2013-12-03,Swap - VLUE US Equity,0.9878736899145367,0.4925533516385965,0.4865804969629926,0,0,-0.005972854675603878,-0.0040927193942709925,7,0.1989881175721823,False,Equity | Vol. Targeting,1.0,0.0,1.0006716863448348
2013-12-03,Swap - SIZE US Equity,0.9917147065335166,0.4876167861018568,0.4835767379298195,0,0,-0.004040048172037347,-0.004177852015701417,7,0.1989881175721823,False,Equity | Vol. Targeting,1.0,0.0,1.0006716863448348
2013-12-03,Swap - USMV US Equity,0.9974298515591911,0.5542058662335793,0.5527814748905918,0,0,-0.001424391342987441,-0.005683672576087235,7,0.1989881175721823,False,Equity | Vol. Targeting,1.0,0.0,1.0006716863448348
2013-12-03,Swap - MTUM US Equity,0.9962216996357618,0.49292721113680416,0.49106478407542303,0,0,-0.0018624270613811222,-0.0034393143296407103,7,0.1989881175721823,False,Equity | Vol. Targeting,1.0,0.0,1.0006716863448348
2013-12-03,Swap - QUAL US Equity,0.9976381084477698,0.5224419883672091,0.5212080370483543,0,0,-0.0012339513188548423,0.0003231029106256396,7,0.1989881175721823,False,Equity | Vol. Targeting,1.0,0.0,1.0006716863448348
2013-12-04,Swap - VLUE US Equity,1.0041404941007808,0.4865804969629926,0.48859518064022284,0,0,0.0020146836772302334,-0.002078035717040759,8,0.20090233317446257,False,Equity | Vol. Targeting,1.0,0.0,1.0006783088397566
2013-12-04,Swap - SIZE US Equity,0.99999338199413,0.4835767379298195,0.48357353761612926,0,0,-3.2003136902214457e-06,-0.004181052329391638,8,0.20090233317446257,False,Equity | Vol. Targeting,1.0,0.0,1.0006783088397566
2013-12-04,Swap - USMV US Equity,0.9968554594305585,0.5527814748905918,0.5510432311167627,0,0,-0.00173824377382914,-0.007421916349916375,8,0.20090233317446257,False,Equity | Vol. Targeting,1.0,0.0,1.0006783088397566
2013-12-04,Swap - MTUM US Equity,0.9957837036108457,0.49106478407542303,0.48899430939948496,0,0,-0.002070474675938072,-0.005509789005578782,8,0.20090233317446257,False,Equity | Vol. Targeting,1.0,0.0,1.0006783088397566
2013-12-04,Swap - QUAL US Equity,0.9990845275244892,0.5212080370483543,0.5207308854364214,0,0,-0.0004771516119328467,-0.00015404870130720713,8,0.20090233317446257,False,Equity | Vol. Targeting,1.0,0.0,1.0006783088397566
2013-12-05,Swap - VLUE US Equity,0.995174505163237,0.48859518064022284,0.4862374671187762,0,0,-0.002357713521446647,-0.004435749238487406,9,0.20091493564953336,False,Equity | Vol. Targeting,1.0,0.0,1.000684924541028
2013-12-05,Swap - SIZE US Equity,0.9999933888268833,0.48357353761612926,0.4835703406277574,0,0,-3.1969883718674375e-06,-0.004184249317763506,9,0.20091493564953336,False,Equity | Vol. Targeting,1.0,0.0,1.000684924541028
